"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.43","48.65","VICTORIA INTL A","1018621","2016-01-01","2016","01","01","","3.7","","-4.0","","-0.2","","18.2","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2016-01-02","2016","01","02","","2.5","","-2.6","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2016-01-03","2016","01","03","","4.0","","-2.8","","0.6","","17.4","","0.0","","0.2","","0.2","","0.4","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2016-01-04","2016","01","04","","3.5","","-1.2","","1.2","","16.8","","0.0","","1.2","","0.0","T","1.2","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2016-01-05","2016","01","05","","3.0","","0.4","","1.7","","16.3","","0.0","","1.3","","2.9","","4.2","","0","T","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2016-01-06","2016","01","06","","7.9","","2.5","","5.2","","12.8","","0.0","","0.4","","0.0","","0.4","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2016-01-07","2016","01","07","","3.9","","1.6","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2016-01-08","2016","01","08","","5.9","","1.2","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2016-01-09","2016","01","09","","4.3","","-0.3","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2016-01-10","2016","01","10","","7.2","","-1.3","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-123.43","48.65","VICTORIA INTL A","1018621","2016-01-11","2016","01","11","","3.8","","-3.0","","0.4","","17.6","","0.0","","8.4","","0.0","","8.4","","","","","","<31",""
